pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p,count_cv
ETCUSDT,tick,1096,1095,-0.0896255406266004,1.3471603141789652,84.2680912142077,5.028245719612604e-19,-0.03287982822952241,0.4002162824856498,0.758773628571126
ETCUSDT,volume,1095,1094,-0.03706827137015781,1.579785130577446,114.01382127603395,1.7466797268379119e-25,0.025264627637765016,0.7441023696194785,1.0282907665500027
ETCUSDT,dollar,1096,1095,-0.3021329984287954,2.905595410229882,401.84775753264347,5.493740851281845e-88,-0.006339174348841826,0.25466954886863746,1.328277552706378
ETHUSDT,time,1096,1095,-0.057834206046524755,3.1931589715257642,465.81498007899194,7.07232617213152e-102,0.019858146457785292,0.07234336190886981,0.08245921238769882
ETHUSDT,tick,1096,1095,-0.3162459460774208,1.0650343481857965,70.00445213835775,6.291096744609805e-16,0.02932012656444774,0.8949679875962723,0.4335450203861046
ETHUSDT,volume,1095,1094,-0.26125275992169134,1.9395714571980998,183.92644602890556,1.1504816782214335e-40,0.013112534721784056,0.015678668131654094,0.5640046694031762
ETHUSDT,dollar,1095,1094,-0.28259949813242136,1.0707030704199454,66.81855573340499,3.094104504886202e-15,0.029624805346588904,0.5549892774216163,0.4439910725925085
HBARUSDT,time,1095,1094,2.002142562331916,28.837636687069605,38638.42026775831,0.0,-0.09774095472842381,0.004300816161660476,0.08322820355054134
HBARUSDT,tick,1096,1095,-0.5068928555201779,5.339629714118411,1347.7354421761424,2.202760087339434e-293,-0.07144220094204388,0.0477178831117259,2.045977066274929
HBARUSDT,volume,1096,1095,-0.1305148363290994,1.4821860075101032,103.34116569579712,3.628699396010875e-23,0.016109988886411446,0.1108905681599109,1.6477509205392031
HBARUSDT,dollar,1095,1094,-0.25699621312405385,3.6806683037867645,629.5745445897752,1.9481602102563744e-137,-0.03677397474117514,0.002293845508707978,2.648655814280789
ICPUSDT,time,1096,1095,0.1316842141678363,5.086026191033007,1183.3767813618706,1.0789390730270856e-257,0.0023655275759160398,0.6335520360729486,0.09908130999272217
ICPUSDT,tick,1096,1095,-0.021658725753451145,1.992920061013069,181.29580893569832,4.2866230362150415e-40,0.00945489634018895,0.24789441842928078,1.0044568564240137
ICPUSDT,volume,1096,1095,-0.21325112173273986,0.9730645337009207,51.4996179882628,6.561453324561387e-12,-0.03188016782079656,0.3339466226992834,0.8175952060940707
ICPUSDT,dollar,1096,1095,-0.18400700196141082,1.203721234917567,72.28729728041179,2.0091522113547063e-16,0.0033528929846145003,0.12588444269082802,1.2674130874330627
