pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
APRUSDT,5245.0,0.05,-4.095909635667895,0.0009837128001622217,0.9873303855358071,0.02315585950808576,3237.0,,0.023635931255144977,0.3664315538211014
APTUSDT,31657.0,0.15,-3.2683582616113895,0.016353481780788104,0.9868047468200055,0.013316499793280392,3901.0,,0.011034954702849476,1.0209156860707247
ARBUSDC,18524.0,0.15,-2.985395754500142,0.03628094499130297,0.9800380108127873,0.009161427811988034,3901.0,,0.01043032176081152,1.6558450686572672
ARBUSDT,27924.0,0.15,-2.924102340922189,0.04261615713435365,0.9852025044729182,0.010756232765263565,3901.0,,0.010395962501785583,1.4514297246287824
ARCUSDT,11942.0,0.1,-3.377391747890171,0.011754157956597438,0.9813300056784776,0.007740167570199667,4076.0,,0.02476830476581774,0.5727565665707576
ARIAUSDT,6448.0,0.15,-3.3443765929242515,0.013007682254477886,0.9650755386935591,0.03271676413869022,3901.0,,0.036145256938682535,0.36753398304000934
ARKMUSDT,24889.0,0.15,-2.9005626835429297,0.0452826041479083,0.9809709202858906,0.010801772432208052,3901.0,,0.013900010816844496,0.6296120401925086
ARKUSDT,23605.0,0.1,-3.388375187956186,0.011361602049193457,0.9871355215715923,0.014382187614531684,4076.0,,0.012191902895618697,0.7721802807196119
ARPAUSDT,40417.0,0.1,-4.104926473601556,0.0009505229766957773,0.990485786339494,0.009684650421495751,4076.0,,0.012511530720104812,1.0553176651109275
ARUSDT,40915.0,0.1,-3.2818138356709117,0.015711227612503507,0.9893250050013155,0.007834841209880178,4076.0,,0.013166546855211536,1.0813526246961451
ASRUSDT,9329.0,0.05,-3.329978727733804,0.013590462931164041,0.9878977213948525,0.01872293407564229,3237.0,,0.01206242183333335,0.6874286456449674
ASTERUSDT,6063.0,0.05,-4.131891004635757,0.0008574184853150597,0.9943962624248336,0.021590940607317612,3237.0,,0.014609709809324294,0.08150237948660129
ASTRUSDT,28821.0,0.2,-4.04716266340294,0.001182722794587222,0.9786823755765345,0.010978370330765236,3382.0,,0.010779401349547931,1.3161386804724546
ATHUSDT,10140.0,0.15,-2.904252421670956,0.044855728663942974,0.971058076741418,0.011935811320944385,3901.0,,0.0125485037124421,1.3005470108463473
ATOMUSDT,55288.0,0.1,-3.6242408623305797,0.005314151574743894,0.9912161106832593,0.009186391800538067,4076.0,,0.011956023796799619,0.2910540835972178
ATUSDT,5104.0,0.15,-3.2126897718500027,0.01926179586752157,0.9756150014728683,0.012191634848394547,3901.0,,0.015475443487684712,1.010849508942524
AUCTIONUSDT,21518.0,0.1,-3.5691096586501527,0.006379799174035357,0.9873577846471624,0.012256163177982301,4076.0,,0.013253782546215596,0.9029955117302213
AUSDT,8803.0,0.15,-2.8817187675963676,0.0475155303460859,0.941826773437503,0.0005008095479759218,3901.0,,0.009089586946338699,2.6707071297921363
AVAAIUSDT,11942.0,0.1,-3.2490977072394984,0.01731289623526475,0.986705278986499,0.0017920774112790037,4076.0,,0.021343292508820878,1.528280259958652
AVAUSDT,12782.0,0.0,-3.622746244308087,0.005340765666851578,1.0,-0.009190780381808471,1.0,,0.011637128677015426,1.9778141019528674
AVAXUSDC,19220.0,0.15,-3.427682533959359,0.010050605922641481,0.9758426405720734,0.009426173616779016,3901.0,,0.009523243846196948,1.3567755082703297
AVAXUSDT,49797.0,0.1,-3.9474244356584296,0.0017122657392911154,0.985402879239985,0.006559111808422339,4076.0,,0.012913222303084029,0.2748126048628498
AVNTUSDT,6300.0,0.1,-4.1577549274951116,0.0007762065555251663,0.8149238443795467,0.01558526126828179,4076.0,,0.018825881457513786,0.20918255154472393
AWEUSDT,8967.0,0.05,-3.271208173360529,0.01621555884820272,0.9949243152651358,0.029610435235279908,3237.0,,0.011405746055595939,0.22289080260632047
AXLUSDT,19668.0,0.2,-4.078186264140567,0.0010521344523473054,0.9761716928873304,0.006208128318849274,3382.0,,0.013020310203428314,1.9693912600484231
AXSUSDT,48405.0,0.15,-3.4252241679631936,0.010128454213378895,0.9826557958314399,0.0033132017529047264,3901.0,,0.014341357085974962,0.30390111981352463
B2USDT,9326.0,0.05,-2.967244921907305,0.03806861292414468,0.994145473263329,0.02322708976186541,3237.0,,0.016780892178410632,0.1758952570364266
BABYUSDT,10070.0,0.1,-3.5535574017306057,0.0067135649645133745,0.96868352643985,0.009941823373886053,4076.0,,0.01333759902325587,1.0896580898058352
BANANAS31USDT,10410.0,0.15,-3.2716618228763776,0.016193698762043872,0.9663228029396898,0.02221908717507991,3901.0,,0.0189463036654195,0.3446684474743156
BANANAUSDT,15669.0,0.15,-3.2343735750835925,0.018079248361057235,0.9761229575009861,0.010675629971142983,3901.0,,0.013185802060251987,1.5454459700895307
BANDUSDT,51141.0,0.1,-2.88969847639011,0.04655910568482018,0.9954374146345305,0.009302605188448982,4076.0,,0.01383395504908165,0.9559146614676026
BANKUSDT,9753.0,0.1,-3.3607398827420925,0.01237231279735061,0.9787226027988003,0.02678180203761911,4076.0,,0.01841263657541359,0.1999637865598579
BANUSDT,13384.0,0.0,-5.558563807487174,1.5605841391622448e-06,1.0,0.017203190349784073,1.0,,0.019353436139015603,0.6800693753241863
BARDUSDT,6084.0,0.25,-3.138423572753588,0.023837284740369634,0.9356905409377535,0.028074023587582448,2804.0,,0.014756468002321062,1.4837700569413361
BASUSDT,6638.0,0.2,-3.2920250685000507,0.015238739471069811,0.9655018665478277,0.026588709931212796,3382.0,,0.030982158165715052,0.3445040586338712
BATUSDT,55143.0,0.1,-4.081713351180202,0.0010381730378069883,0.9902797120702791,0.010018293058686362,4076.0,,0.011673734579013348,0.33549701099195645
