pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
EDENUSDT,5801.0,0.0,-3.7608382618593614,0.003334388337242504,0.9999999999999998,-0.023300537310340184,1.0,,0.019685827341776596,1.6681279232784847
EDUUSDT,27016.0,0.15,-3.31019915304574,0.014428682241370576,0.9856034452366723,0.009800540524198613,3901.0,,0.013061291225797881,1.6194712195388092
EGLDUSDT,50013.0,0.15,-3.3235310197221013,0.01385884861244178,0.9884500412611645,0.00885595051235921,3901.0,,0.01182302102869629,0.4844347094153245
EIGENUSDT,14537.0,0.2,-3.6743923176123747,0.004488111917860424,0.9567489559086961,0.0064067538835259185,3382.0,,0.014340037463808769,1.7228602924726337
ENAUSDC,18189.0,0.15,-3.0093895326288504,0.034026791650542634,0.9759266954786608,0.0137731952370837,3901.0,,0.013825802701371367,1.1700261318567862
ENAUSDT,18904.0,0.15,-3.219317165592835,0.01889340326784317,0.9755290785839371,0.014823463621555852,3901.0,,0.014386370205724667,0.986044240872741
ENJUSDT,49648.0,0.15,-3.5857468730382642,0.006039436747208542,0.9878014992895786,0.007584724562945851,3901.0,,0.01386885790520776,0.49016128852430163
ENSOUSDT,5467.0,0.1,-3.145011650365752,0.02339653702956874,0.9649151319681264,0.020025890313333124,4076.0,,0.018767614652609788,0.7998110257652387
ENSUSDT,39409.0,0.0,-3.1635811359594657,0.022191919380510437,1.0,0.009593810360969662,1.0,,0.012531372230619533,0.9777758751857345
EPICUSDT,10628.0,0.15,-2.882261098864004,0.04745001819864041,0.9751794662605818,0.014636790714559983,3901.0,,0.01434216861710146,1.2654477458045184
