market,instrument,d_star,adf_stat,adf_p,corr_level_dstar,corr_level_d1
crypto,AKEUSDT,0.05,-3.0945070498714125,0.0269623710184572,0.9953661482813674,0.0176081269016255
crypto,MORPHOUSDT,0.05,-3.4663400174963432,0.0088948229811777,0.9955020336639318,0.0226950929175749
crypto,JELLYJELLYUSDT,0.05,-3.795483637222495,0.0029538627756071,0.9905354207417544,0.0217267780046762
crypto,LTCUSDT,0.05,-3.7546352309752,0.0034070930954236,0.9969992861565348,0.011181502435543
crypto,LINEAUSDT,0.05,-3.0938314321958784,0.0270130708691817,0.9784387952617768,-0.0162316596584824
crypto,LIGHTUSDT,0.05,-3.02897980849607,0.0322752569237354,0.9706155406966054,0.021904061149789
crypto,LPTUSDT,0.05,-3.0051220169798496,0.0344188291139604,0.9974905211046596,0.0059556483815104
crypto,1000SHIBUSDT,0.05,-3.0386128236102987,0.0314424305493614,0.9963234878590104,0.0124629019945232
crypto,CCUSDT,0.05,-4.603225241654703,0.0001274130547433,0.9896560918041246,0.0276098574769816
crypto,COAIUSDT,0.05,-4.945997862021975,2.835459737052208e-05,0.9774178037691438,0.0174041367568107
crypto,CATIUSDT,0.05,-3.053588900909185,0.0301839714282755,0.9943937091550452,-0.0043436285744219
crypto,BROCCOLI714USDT,0.05,-3.9017720258421127,0.0020218446065209,0.9916860613202776,0.0226209369666259
crypto,ETCUSDT,0.05,-2.908854356815213,0.0443280022842877,0.9975298816257546,0.0084419370547906
crypto,RLCUSDT,0.05,-3.4076089611474907,0.0107022014230883,0.9974741538071829,0.0134500658586434
crypto,SKYUSDT,0.05,-3.1447405886133395,0.0234145314358932,0.9884533363363,0.0272262044136929
crypto,SFPUSDT,0.05,-3.45876962093289,0.0091113077251331,0.9974320794707764,0.0104182017199979
crypto,CVXUSDT,0.05,-4.58591621562775,0.0001371145875992,0.9915884958134752,0.009567739757158
crypto,DOGEUSDT,0.05,-4.5227800096712265,0.0001788196450135,0.995817592360141,-0.0003507198778953
crypto,SOMIUSDT,0.05,-3.784308894203444,0.0030719978547356,0.9828680949473548,0.0014758569659954
crypto,DOLOUSDT,0.05,-3.0048377473579206,0.0344450787700465,0.9956380684398762,0.0158537778736351
crypto,STOUSDT,0.1,-3.38886050054242,0.0113445289413043,0.9814686808033518,0.0339010783278672
crypto,STORJUSDT,0.1,-3.789510745836449,0.0030164755691086,0.9911420251988222,0.0117666139847559
crypto,SUIUSDT,0.1,-3.355819429890485,0.0125604106453742,0.9818444604032514,0.0089922828665782
crypto,SUSHIUSDT,0.1,-3.1679606410879413,0.0219157739132864,0.9945292005063237,0.0081912235780979
crypto,BANKUSDT,0.1,-3.3607398827420925,0.0123723127973506,0.9787226027988004,0.0267818020376191
crypto,BANDUSDT,0.1,-2.88969847639011,0.0465591056848201,0.9954374146345304,0.0093026051884489
crypto,SYNUSDT,0.1,-2.9505641514436105,0.0397761469670234,0.984787785594248,0.0081569028187211
crypto,TAIKOUSDT,0.1,-3.8547540093737767,0.0023942512482193,0.960935394315406,0.0033133670688294
crypto,BABYUSDT,0.1,-3.5535574017306057,0.0067135649645133,0.96868352643985,0.009941823373886
crypto,AVNTUSDT,0.1,-4.157754927495112,0.0007762065555251,0.8149238443795467,0.0155852612682817
crypto,AVAAIUSDT,0.1,-3.2490977072394984,0.0173128962352647,0.986705278986499,0.001792077411279
crypto,AVAXUSDT,0.1,-3.9474244356584296,0.0017122657392911,0.985402879239985,0.0065591118084223
crypto,API3USDT,0.1,-3.626173538528139,0.0052799158908327,0.9908519212914412,0.009734776071356
crypto,ANKRUSDT,0.1,-2.955745450369918,0.0392390254750652,0.994062314078621,0.010173931900625
crypto,1000FLOKIUSDT,0.1,-2.8793189984213683,0.0478063129958402,0.9807097100908616,0.0092128104868081
crypto,ZROUSDT,0.1,-4.448937889420309,0.0002429156383578,0.9797647987753768,0.0172975224170065
crypto,ZRXUSDT,0.1,-3.9751367970571536,0.0015464465471702,0.989583755478771,0.0114081611097748
crypto,1000BONKUSDT,0.1,-2.9780028127844185,0.0370003531555438,0.9880962331673856,0.0122973164016242
crypto,币安人生USDT,0.1,-3.4521868334117496,0.0093033754673481,0.9311776278204597,0.0232532505483783
crypto,1000000BOBUSDT,0.1,-3.354901592395344,0.0125957768187028,0.9312379959110446,0.0027103271927705
crypto,ERAUSDT,0.1,-3.3081696887704406,0.0145172154042664,0.9496228676556728,-0.0072450581519175
