d,corr,passed
0.55,0.35283087742505015,1
0.6,0.2628540420928725,1
0.65,0.19917534397923709,1
0.7,0.1554976293948715,1
0.75,0.126052015112173,1
0.8,0.09460783936614374,1
0.85,0.07040872380780827,1
0.9,0.05206677489225202,1
0.95,0.03564421044326376,1
1.0,0.010564321975073796,1
0.0,1.0,0
0.05,0.9913508594920066,0
0.1,0.9845215185105761,0
0.15,0.9607901256325071,1
0.2,0.8932833177811744,1
0.25,0.7895650463761182,1
0.3,0.7294038365818726,1
0.35,0.6815732218472167,1
0.4,0.6231480388574966,1
0.45,0.541517026187538,1
0.5,0.45258732577124683,1
0.55,0.370677495133695,1
0.6,0.3057682588256306,1
0.65,0.24026108919356115,1
0.7,0.18216509844334114,1
0.75,0.1421962949702923,1
0.8,0.108915489526526,1
0.85,0.08338668327750533,1
0.9,0.061385386350159686,1
0.95,0.0399592163335418,1
1.0,0.02111221896444616,1
0.0,0.9999999999999998,0
0.05,0.9964482368501794,0
0.1,0.9751190091481043,0
0.15,0.9432820932528281,1
0.2,0.9193018841447933,1
0.25,0.9006810064870507,1
0.3,0.8625510150915611,1
0.35,0.8105053620437844,1
0.4,0.7492613123804688,1
0.45,0.680924352953074,1
0.5,0.6032348910801855,1
0.55,0.5151102107505795,1
0.6,0.4282902110717863,1
0.65,0.3486508586561886,1
0.7,0.27724383828646243,1
0.75,0.21548534899936983,1
0.8,0.16387085697614287,1
0.85,0.12114624964201537,1
0.9,0.08592003624513192,1
0.95,0.05504035968211363,1
1.0,0.011917124183824767,1
0.0,1.0,0
0.05,0.9944885379168898,0
0.1,0.9614609673058166,1
0.15,0.9333054281048498,1
0.2,0.9096667803897118,1
0.25,0.8613309464851362,1
0.3,0.7954247631446799,1
0.35,0.7016643000360384,1
0.4,0.6291342265450132,1
0.45,0.5288226809804545,1
0.5,0.4506503893730052,1
0.55,0.38523372394006944,1
0.6,0.29400623567831613,1
0.65,0.2361638181235188,1
0.7,0.18878384825254954,1
0.75,0.14616062393228202,1
0.8,0.11437839901925838,1
0.85,0.08729157223964318,1
0.9,0.06836875209820686,1
0.95,0.051773275728612296,1
1.0,0.03571428315010092,1
0.0,1.0,0
0.05,0.9983237734812789,0
0.1,0.9894188668192503,0
0.15,0.9740389292783838,1
0.2,0.9554886139934218,1
0.25,0.9244605262033038,1
0.3,0.8681980907960319,1
0.35,0.7907899791182043,1
0.4,0.7175281692073248,1
0.45,0.6236769418118648,1
0.5,0.5190916590466285,1
0.55,0.4537512640136025,1
0.6,0.40175797838747,1
0.65,0.3272496633303805,1
0.7,0.25889704589789636,1
0.75,0.20040335705341858,1
0.8,0.15668364354247777,1
0.85,0.11908681236605408,1
0.9,0.08441726362319717,1
0.95,0.053007327157343846,1
1.0,0.00784970365242568,1
0.0,1.0,0
0.05,0.9953661482813674,1
0.1,0.9842574217343579,1
0.15,0.9647107258805632,1
0.2,0.9254064602373843,1
0.25,0.8447685680845203,1
0.3,0.7707079505695539,1
0.35,0.6946664166460262,1
0.4,0.5943239127963165,1
0.45,0.41321761976902194,1
0.5,0.2805147953818197,1
0.55,0.21983598660636045,1
0.6,0.20384126923829407,1
0.65,0.16662187306491621,1
0.7,0.14130625073911576,1
0.75,0.11367005756831783,1
0.8,0.08410329920699158,1
0.85,0.06538595529666827,1
0.9,0.05216096905536927,1
0.95,0.03298458367199327,1
1.0,0.01760812690162555,1
0.0,1.0,0
0.05,0.9962649680841803,0
0.1,0.9813748144093085,0
0.15,0.9567346749951411,1
0.2,0.9204130665029182,1
0.25,0.8677601280168376,1
0.3,0.7979359688500223,1
0.35,0.725126539874669,1
0.4,0.6663108599398876,1
0.45,0.6102893847012384,1
0.5,0.5434554359079623,1
0.55,0.46255277068079215,1
0.6,0.3828236445978757,1
0.65,0.3087043690049707,1
0.7,0.2533092705005096,1
0.75,0.19802664342218979,1
0.8,0.15204198180671852,1
0.85,0.11286407556011845,1
