pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len
ETHFIUSDT,19261.0,0.1,-2.952288745794898,0.03959668689801799,0.9850626959828869,0.01037731550280647,4076.0
FHEUSDT,9901.0,0.1,-3.273408422392233,0.01610977656494568,0.9805846937681709,0.023543001624842592,4076.0
FORMUSDT,10479.0,0.1,-3.862241706035829,0.0023309855127072125,0.9736985799348925,0.010421137508501528,4076.0
PUMPBTCUSDT,8418.0,0.1,-3.0574355498469643,0.029867747276531523,0.9614384053205014,0.030639974585322735,4076.0
PROVEUSDT,7139.0,0.1,-4.433439411283236,0.0002588944331907322,0.9207634505928437,0.014843696421038966,4076.0
NMRUSDT,25744.0,0.1,-3.9629133718211964,0.0016176551762935754,0.9839986628468894,0.015530773513488999,4076.0
NEOUSDT,55047.0,0.1,-3.2550548722191137,0.01701101896442113,0.992620924034789,0.00990503136636534,4076.0
OGNUSDT,45237.0,0.1,-3.388142809775539,0.011369785115089627,0.9939813986524808,0.004251090700872053,4076.0
ONTUSDT,55196.0,0.1,-3.3004966559904383,0.014856288546896938,0.9939228734035838,0.008615928517063274,4076.0
NEWTUSDT,8270.0,0.1,-4.163902985259227,0.0007579934639650698,0.9289291035085856,0.011510177537272497,4076.0
PARTIUSDT,10335.0,0.1,-4.017445271919277,0.0013218676678374947,0.9686289626971438,0.013497010084946857,4076.0
PAXGUSDT,10290.0,0.1,-3.1736398841969806,0.021562113520927118,0.9609635424197415,0.0026879073255691656,4076.0
JASMYUSDT,36025.0,0.1,-3.1630451608556656,0.022225920904905192,0.988347126657625,0.008526252345624178,4076.0
IOTXUSDT,42049.0,0.1,-3.0286284043016884,0.032305988354831935,0.9909663308679433,0.00917698437678393,4076.0
MTLUSDT,45260.0,0.1,-4.0669363001787735,0.0010978474769727407,0.9920408323235506,0.008545478577129652,4076.0
ACHUSDT,28621.0,0.1,-3.561661119913056,0.006537731750449061,0.9892742229580967,0.014067470077143804,4076.0
1000XECUSDT,41184.0,0.1,-3.371065507662205,0.011985693393708037,0.9916291808873721,0.004036819445771078,4076.0
LISTAUSDT,17008.0,0.1,-3.4441897961945482,0.009541579895007746,0.9867081101899311,0.014414046642800759,4076.0
LINKUSDC,20012.0,0.1,-3.4889872511601427,0.00827447043398471,0.9844247234246876,0.016848912945836413,4076.0
LDOUSDT,32296.0,0.1,-2.943276826398709,0.0405419933798855,0.991931435371179,0.013713282539087398,4076.0
KOMAUSDT,12856.0,0.1,-3.0318674568327166,0.03202366111661846,0.9881801480170342,0.003820449531776134,4076.0
KNCUSDT,52028.0,0.1,-3.402670349866738,0.010868175710598244,0.9934504728870326,0.010590181577088466,4076.0
KERNELUSDT,9856.0,0.1,-3.5596332313459285,0.006581337473122156,0.9672456412657877,0.009962207354700907,4076.0
MAVIAUSDT,10307.0,0.1,-3.3214725606121895,0.013945512742388786,0.9789365358886601,0.004491939030075426,4076.0
LTCUSDC,18693.0,0.1,-3.5191912098673095,0.007507687246737603,0.9842306496860673,0.01860831524411543,4076.0
LYNUSDT,5661.0,0.1,-3.129884320986025,0.02441921798274996,0.9450009995843696,0.021870329012849646,4076.0
MASKUSDT,41689.0,0.1,-3.6920339113877887,0.004226609844282718,0.9883019772776683,0.00803452644281294,4076.0
ALGOUSDT,52171.0,0.1,-3.145557399439001,0.02336034377429097,0.9922254863983406,0.007845857143223188,4076.0
AIOUSDT,6952.0,0.1,-4.400492560283347,0.0002962373933778531,0.9614609673058166,0.03571428315010092,4076.0
AERGOUSDT,9808.0,0.1,-5.881762713662412,3.06659525558833e-07,0.9341529492608158,-0.007680734586513366,4076.0
AGLDUSDT,24865.0,0.1,-2.919527070343431,0.043123931016810446,0.9921872398249311,0.014481314894277574,4076.0
VIRTUALUSDT,12856.0,0.1,-3.9966037955680176,0.0014283995547355642,0.9811560993477895,0.015848612496535464,4076.0
VETUSDT,55119.0,0.1,-3.4632308649867904,0.008983168612301716,0.9892486944822273,0.008070423330360971,4076.0
WCTUSDT,9833.0,0.1,-3.734257118663067,0.003656302250530768,0.9695649736044595,0.010101147900056387,4076.0
ADAUSDT,55460.0,0.1,-3.6746176450277757,0.00448468080385815,0.9864593295880261,0.0024587549784858705,4076.0
XTZUSDT,55316.0,0.1,-3.3107790124729006,0.014403474162105252,0.9937957653037576,0.009426215920610968,4076.0
XVSUSDT,27434.0,0.1,-3.489655070163145,0.008256782625749259,0.9865107337389247,0.015337441117595722,4076.0
YBUSDT,5558.0,0.1,-4.555026528321555,0.00015620343004403694,0.9589737410022079,-0.0035913167715321626,4076.0
XRPUSDT,56060.0,0.1,-3.836150508044319,0.0025583651098974175,0.9899946461623466,0.005988340838606472,4076.0
YFIUSDT,50344.0,0.1,-3.241845540282067,0.017686722531365176,0.9940176530126941,0.007979211334873676,4076.0
WIFUSDC,18861.0,0.15,-2.993649294097113,0.03549174767232442,0.9772526426601427,0.007794345334850086,3901.0
XRPUSDC,21040.0,0.15,-3.3662674125612155,0.012163992251034934,0.9612151880847646,0.003920419304178236,3901.0
WLDUSDC,19365.0,0.15,-3.450066438364064,0.00936601039365887,0.9782387376692031,0.0024243582901358183,3901.0
WIFUSDT,20697.0,0.15,-3.1931975664012495,0.020381822733833425,0.9776520167475833,0.011663710835682947,3901.0
WLDUSDT,24976.0,0.15,-3.2756719292444716,0.016001586118834992,0.9803727807158846,0.011705469170087334,3901.0
VICUSDT,10643.0,0.15,-2.9570985454883023,0.039099761231442834,0.975328420631326,0.008981907002563934,3901.0
WOOUSDT,36312.0,0.15,-3.1781124520896267,0.0212870903384537,0.9876625861644858,0.009351135084617023,3901.0
WLFIUSDT,6716.0,0.15,-2.93672925394216,0.041240571965450314,0.9569964405225423,0.009074499694463355,3901.0
WAXPUSDT,22910.0,0.15,-2.9697164289291798,0.03782092755554694,0.987668045432693,0.009473769737982888,3901.0
AIXBTUSDT,12609.0,0.15,-3.0852222470876978,0.027666313937609745,0.9740389292783838,0.00784970365242568,3901.0
AGTUSDT,8993.0,0.15,-3.2274366176413225,0.018450465168352637,0.9768740303818442,0.010564321975073796,3901.0
AINUSDT,7769.0,0.15,-3.526710015209626,0.007327044044795813,0.9607901256325071,0.02111221896444616,3901.0
ANIMEUSDT,11794.0,0.15,-3.156418049183799,0.022650077929775695,0.9746570280112138,-0.007756819502907099,3901.0
ALLUSDT,7122.0,0.15,-3.058198050083982,0.029805400475453943,0.8952040779509947,0.0075930888480715795,3901.0
ALICEUSDT,45624.0,0.15,-4.045362695837492,0.0011907457157103465,0.9903167478350666,0.004623196674582302,3901.0
AKTUSDT,13384.0,0.15,-3.299203563187295,0.01491411279701512,0.9567346749951411,0.0010535636031718397,3901.0
AEROUSDT,12993.0,0.15,-3.4142692817733535,0.01048194498648848,0.9632478490696375,0.00846699106928202,3901.0
1INCHUSDT,47561.0,0.15,-4.024697517128711,0.001286568412144372,0.9880607239885983,0.006425239204672902,3901.0
ACEUSDT,21449.0,0.15,-2.863244705765659,0.04979212844967896,0.9895358250532689,0.0030517870874710493,3901.0
ACXUSDT,12948.0,0.15,-3.1648137997887584,0.022113891806394538,0.9764065779446789,-0.008965175041744348,3901.0
1MBABYDOGEUSDT,14896.0,0.15,-3.097791949070032,0.026717026257368433,0.97658368556485,0.013561772207718693,3901.0
AIOTUSDT,9471.0,0.15,-3.137828995790004,0.023877412746666826,0.9432820932528281,0.011917124183824767,3901.0
MANTAUSDT,20702.0,0.15,-2.8676980462021726,0.04923528330262933,0.9843959683271818,0.0037242221644293656,3901.0
KAVAUSDT,51160.0,0.15,-3.213508247214386,0.019215963390175953,0.9919161925437509,0.009266946688969659,3901.0
JUPUSDT,20386.0,0.15,-3.516476500766997,0.0075738892231375235,0.979811686129084,0.012390515493662477,3901.0
KAITOUSDC,10818.0,0.15,-3.183263844034682,0.02097410296627958,0.9560805288393609,0.007989020527197391,3901.0
KAITOUSDT,11127.0,0.15,-3.2032517583096545,0.019797224565471824,0.958317438129681,0.013478711552281997,3901.0
KASUSDT,22202.0,0.15,-3.92180137282755,0.0018801324797140956,0.9816519691234278,0.014264698811255475,3901.0
KSMUSDT,49293.0,0.15,-3.6888467680805093,0.004272797645046828,0.9896565323000585,0.008297924938574895,3901.0
LAUSDT,8611.0,0.15,-3.063399045256742,0.029383087786254498,0.9815618487314218,0.009414372134705782,3901.0
JTOUSDT,21685.0,0.15,-3.208725063153542,0.019485160731528284,0.9833025685822085,0.009792557146683586,3901.0
AAVEUSDC,8346.0,0.15,-3.35460109909506,0.012607374616837735,0.960130405845389,0.014786435436753535,3901.0
MEWUSDT,17078.0,0.15,-2.8993440044491585,0.04542433402541727,0.9808773337170689,0.012781355885686765,3901.0
MOVRUSDT,21255.0,0.15,-3.8591572635786955,0.0023568574106120252,0.9774806960390705,0.006975263396257374,3901.0
MANAUSDT,45645.0,0.15,-3.994603499095794,0.0014390340241740964,0.9809913088640106,0.009922295441142986,3901.0
MITOUSDT,6588.0,0.15,-3.1578632723616535,0.022556986313813573,0.922904271378512,0.016769025160624423,3901.0
MOODENGUSDT,13961.0,0.15,-3.6698359508395155,0.004558008718642535,0.958758251953112,0.013944726836038285,3901.0
JOEUSDT,27784.0,0.15,-3.0513809054448293,0.03036677114446563,0.9862977175178733,0.01155556261396075,3901.0
ONEUSDT,45573.0,0.15,-3.377871583387852,0.011736759630978385,0.9858815219736252,0.008425431738064959,3901.0
ONDOUSDT,20655.0,0.15,-4.102013325129259,0.0009611295119993685,0.9735698859418214,0.00820657814228892,3901.0
NOMUSDT,5780.0,0.15,-3.326335326290395,0.013741549146404856,0.9458601471959441,0.00030975314083477994,3901.0
OPUSDT,35001.0,0.15,-2.951967171826341,0.039630098145362065,0.9870662480479679,0.013333581764445808,3901.0
PUNDIXUSDT,9474.0,0.15,-3.248862120614518,0.017324930364582262,0.9732614677731064,0.007364773939769616,3901.0
GRASSUSDT,13621.0,0.15,-3.533590109283942,0.007165190017141902,0.9615200573041331,0.004670535724608894,3901.0
FLUIDUSDT,5941.0,0.15,-3.304812245159076,0.014664732579687756,0.9037834659466869,0.0021521996372356987,3901.0
FLUXUSDT,15213.0,0.15,-3.8689138710896915,0.002275915700668618,0.9713433320617628,0.00757324448031012,3901.0
FETUSDT,29497.0,0.15,-3.7324947281826124,0.003678621451949301,0.9720315970702831,0.007962248275468063,3901.0
FARTCOINUSDT,12605.0,0.15,-3.1820952814825696,0.021044749639825975,0.9722926226913091,0.016438788252397266,3901.0
HOMEUSDT,8489.0,0.15,-3.1376968196466475,0.023886341232871824,0.9593434013883698,0.023008259873444032,3901.0
GUNUSDT,10191.0,0.15,-3.9805536676021367,0.0015158318379106146,0.9541169548606644,0.011654903563370664,3901.0
GUSDT,15664.0,0.15,-3.148468900439503,0.02316807379071893,0.9832859353264022,0.006080858539859403,3901.0
HAEDALUSDT,9457.0,0.15,-4.181878520649151,0.0007070171582359652,0.9306937905937279,0.012854218945872563,3901.0
HBARUSDC,10770.0,0.15,-3.3685595593108864,0.012078523605150757,0.9741669980663106,0.010192245057733081,3901.0
GMXUSDT,28742.0,0.15,-3.9505504794943227,0.0016927667111880003,0.9844158293268372,0.0072227084698863915,3901.0
GRIFFAINUSDT,12303.0,0.15,-4.156052755415662,0.0007813212276669799,0.9482222604765917,-0.00032540976644785877,3901.0
HIGHUSDT,28994.0,0.15,-3.4430209148926982,0.009576850311176383,0.9832848426782831,0.009301229058258672,3901.0
IMXUSDT,37652.0,0.15,-3.9283399086026507,0.0018359027396018996,0.9792052129055603,0.01006543793762442,3901.0
IOSTUSDT,54956.0,0.15,-4.092305769736733,0.0009972790648592425,0.9854929652879761,0.009558413219853136,3901.0
ICXUSDT,49990.0,0.15,-3.98565271104238,0.0014875294915020947,0.9877561132895083,0.00843315900443259,3901.0
IDUSDT,27926.0,0.15,-2.8708546892468187,0.048843690313417294,0.9869037911481168,0.010862665446811208,3901.0
LUNA2USDT,32593.0,0.15,-3.816619904858438,0.0027417762429026303,0.9856364346248512,0.0014248710711563999,3901.0
MAGICUSDT,29305.0,0.15,-3.3916639463631926,0.011246350942972006,0.9829733881412805,0.008906684004343508,3901.0
LUMIAUSDT,12665.0,0.15,-3.2656585744008932,0.016485083408198223,0.956129557197606,-0.005327298559348359,3901.0
MBOXUSDT,15355.0,0.15,-3.236069124546415,0.017989513801819273,0.9773582754879971,0.010951741493526021,3901.0
POWRUSDT,22706.0,0.15,-3.9147507935316193,0.001928931792400303,0.9818276838591581,0.013323419290637361,3901.0
POPCATUSDT,15490.0,0.15,-3.3484694005481557,0.01284610958819559,0.9645800616317708,0.010889034552424733,3901.0
POLYXUSDT,22749.0,0.15,-3.600730666936752,0.005747074322102051,0.9846759788459136,0.011415113677981124,3901.0
PYTHUSDT,22070.0,0.15,-3.3857377934199433,0.011454784905178704,0.982537987430593,0.011026244062076106,3901.0
POLUSDT,14967.0,0.15,-3.6320203379233233,0.0051775622694270875,0.960955428207009,0.009719071379598043,3901.0
RESOLVUSDT,8487.0,0.15,-3.0624027891626575,0.029463584530519137,0.9702901910636281,0.021269253170471517,3901.0
NEOUSDC,18524.0,0.15,-3.3168183468025987,0.014143229055441527,0.9791989145375731,0.008877736818188467,3901.0
NEIROUSDT,14897.0,0.15,-3.272763114503947,0.0161407382943361,0.9620569730702886,0.011503974766664222,3901.0
REDUSDT,10788.0,0.15,-2.9680577294999337,0.037987006458189705,0.9727687122111732,0.011489919156825668,3901.0
REZUSDT,18230.0,0.15,-3.5433527878965663,0.006941057888691748,0.9776881990544146,0.0007328312732410113,3901.0
ONGUSDT,21951.0,0.15,-3.506217188660962,0.007828851753698974,0.9861850306341101,0.011295470380750796,3901.0
ORDIUSDT,22427.0,0.15,-3.1676936985811146,0.021932520081112378,0.9808344573237019,0.010122547289766519,3901.0
EVAAUSDT,5730.0,0.15,-3.1348279008445705,0.024080847641914035,0.9726761873007388,0.006947126696006955,3901.0
ORDIUSDC,19869.0,0.15,-3.245852272619228,0.017479324015747342,0.9765295085909134,0.005175390436742544,3901.0
FILUSDC,18525.0,0.15,-3.5629051552959066,0.006511110717069879,0.9792437293621247,0.009846955646407108,3901.0
FIDAUSDT,14824.0,0.15,-3.238424778426543,0.01786549072551361,0.9698677715291182,0.0045757095323461375,3901.0
UMAUSDT,26776.0,0.15,-4.119939709810954,0.0008975771586405305,0.9799531592484223,0.012978067633910066,3901.0
TUTUSDT,10459.0,0.15,-3.268243044952718,0.016359079347212473,0.9527069929440504,0.014662760249503717,3901.0
UNIUSDC,8348.0,0.15,-3.849555076255761,0.0024391074229319566,0.9349655310446507,0.01660849419481204,3901.0
TUSDT,29127.0,0.15,-4.281508148143819,0.0004781309084228276,0.9832394505866279,0.01332443934044437,3901.0
VELODROMEUSDT,12780.0,0.15,-3.110578633568075,0.02578016296092816,0.9766250581477165,-0.007342749491166351,3901.0
ARIAUSDT,6448.0,0.15,-3.3443765929242515,0.013007682254477886,0.9650755386935591,0.03271676413869022,3901.0
AVAXUSDC,19220.0,0.15,-3.427682533959359,0.010050605922641481,0.9758426405720734,0.009426173616779016,3901.0
AUSDT,8803.0,0.15,-2.8817187675963676,0.0475155303460859,0.941826773437503,0.0005008095479759218,3901.0
BTCUSDT,58931.0,0.15,-3.6644302847269072,0.004642221229414007,0.9870264645867275,0.0023654193599842574,3901.0
C98USDT,41761.0,0.15,-3.790412048573817,0.0030069498047477273,0.9874208793886833,0.00306266554543606,3901.0
BRETTUSDT,15541.0,0.15,-3.0910758512759444,0.027220703283179205,0.9716591606731296,0.011937096321446522,3901.0
BROCCOLIF3BUSDT,10435.0,0.15,-3.8748331267991496,0.002228069516013015,0.9536105263669652,0.014813923278573695,3901.0
CRVUSDC,16677.0,0.15,-4.089138601008588,0.0010093457677272258,0.974125094049728,0.013707835072393938,3901.0
BMTUSDT,10527.0,0.15,-3.207220042548889,0.01957054020398162,0.9706715520933847,0.00696193443073926,3901.0
BIGTIMEUSDT,23053.0,0.15,-3.297583833610972,0.014986823257518326,0.9818284542353669,0.01022528821384386,3901.0
BEAMXUSDT,22190.0,0.15,-2.9320788071726,0.04174282104508949,0.9834513128230276,0.012732923262963571,3901.0
SAFEUSDT,13960.0,0.15,-3.040266251149705,0.031301335240162195,0.9738461520541828,0.0019470144539382016,3901.0
SAHARAUSDT,8104.0,0.15,-3.331068671200875,0.013545551017730823,0.8375881096746838,0.005406269251856713,3901.0
